"admin_2","SMC","IG2_Nets","PMC","PBO_Nets","IRS","STD_Nets","IPTSc","Vaccine","LSM"
"Bunda District Council",3741.69005863591,3468.52827943767,3207.16290740221,2957.49448316939,2754.35070957076,2401.28880884147,2015.56471828847,2015.56471828847,315.587666621796
"Butiama District Council",318.127286009628,293.105439857205,274.211731869347,261.89271076127,234.93077934284,202.919150670373,172.1582062871,172.298117171956,27.0519639074553
"Chunya District Council",602.531898553829,556.051200392842,519.354035749378,493.976116354468,445.098045046289,384.95852334889,326.129977110081,326.395402465236,51.3203610654672
"Itigi District Council",4744.9442025703,4398.53993597986,4085.32875587985,3869.31167574247,3517.36623978712,3045.14303260144,2575.59152750278,2575.59152750278,404.560470031039
"Kongwa District Council",11442.9844307752,10218.8712636712,9808.27236923592,9432.80424338881,8509.87543671481,7074.60318254161,6203.07552489345,6203.07552489345,997.865137123003
"Mbulu Town Council",3561.23230049146,3180.26950389588,3052.48482899268,2935.63338821159,2648.40378501979,2201.72504115869,1930.49226408342,1930.49226408342,310.550938817979
"Morogoro Municipal Council",607.636173454718,542.63429870479,520.83100581833,500.893198804422,451.884574188079,375.669899103316,329.390737040574,329.390737040574,52.987833481148
"Msalala District Council",4386.97482642813,4071.92925655489,3782.47040993783,3585.0605476521,3240.49902110482,2798.25480221197,2374.54376517743,2376.23196471956,373.100137854589
"Rorya District Council",10758.9412124167,9912.71209715649,9273.7342336865,8857.10972606001,7945.26768087523,6862.64683649296,5822.32364884902,5827.05538061594,914.886908983718
"Shinyanga Municipal Council",567.6828575688,509.215545979686,486.585306487543,463.357001276904,417.758317829038,363.7531249618,305.740699986581,305.740699986581,47.8988851725589
