"district","priority","intervention","impact"
"Bunda District Council",1,"SMC",3741.69005863591
"Bunda District Council",2,"IG2_Nets",3468.52827943767
"Bunda District Council",3,"PMC",3207.16290740221
"Butiama District Council",1,"SMC",318.127286009628
"Butiama District Council",2,"IG2_Nets",293.105439857205
"Butiama District Council",3,"PMC",274.211731869347
"Chunya District Council",1,"SMC",602.531898553829
"Chunya District Council",2,"IG2_Nets",556.051200392842
"Chunya District Council",3,"PMC",519.354035749378
"Itigi District Council",1,"SMC",4744.9442025703
"Itigi District Council",2,"IG2_Nets",4398.53993597986
"Itigi District Council",3,"PMC",4085.32875587985
"Kongwa District Council",1,"SMC",11442.9844307752
"Kongwa District Council",2,"IG2_Nets",10218.8712636712
"Kongwa District Council",3,"PMC",9808.27236923592
"Mbulu Town Council",1,"SMC",3561.23230049146
"Mbulu Town Council",2,"IG2_Nets",3180.26950389588
"Mbulu Town Council",3,"PMC",3052.48482899268
"Morogoro Municipal Council",1,"SMC",607.636173454718
"Morogoro Municipal Council",2,"IG2_Nets",542.63429870479
"Morogoro Municipal Council",3,"PMC",520.83100581833
"Msalala District Council",1,"SMC",4386.97482642813
"Msalala District Council",2,"IG2_Nets",4071.92925655489
"Msalala District Council",3,"PMC",3782.47040993783
"Rorya District Council",1,"SMC",10758.9412124167
"Rorya District Council",2,"IG2_Nets",9912.71209715649
"Rorya District Council",3,"PMC",9273.7342336865
"Shinyanga Municipal Council",1,"SMC",567.6828575688
"Shinyanga Municipal Council",2,"IG2_Nets",509.215545979686
"Shinyanga Municipal Council",3,"PMC",486.585306487543
